,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_tightly-closed_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_smiling_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes
763,116.0,54.0,32.0,276.0
764,98.0,43.0,38.0,243.0
765,134.0,52.0,37.0,264.0
766,113.0,36.0,38.0,256.0
767,113.0,47.0,42.0,252.0
768,119.0,47.0,40.0,285.0
769,109.0,58.0,38.0,277.0
770,124.0,52.0,39.0,250.0
771,119.0,58.0,42.0,265.0
772,125.0,46.0,33.0,260.0
773,110.0,47.0,40.0,272.0
774,128.0,40.0,35.0,288.0
775,98.0,52.0,38.0,302.0
776,84.0,49.0,31.0,271.0
777,107.0,58.0,42.0,284.0
778,118.0,46.0,42.0,276.0
779,122.0,46.0,26.0,260.0
780,106.0,50.0,41.0,246.0
781,109.0,47.0,36.0,263.0
782,100.0,44.0,39.0,241.0
783,97.0,44.0,36.0,269.0
784,98.0,61.0,37.0,302.0
785,112.0,39.0,32.0,253.0
786,97.0,47.0,30.0,257.0
787,98.0,43.0,33.0,232.0
788,104.0,64.0,38.0,263.0
789,98.0,65.0,33.0,253.0
790,103.0,42.0,29.0,272.0
791,99.0,34.0,41.0,243.0
792,114.0,52.0,21.0,257.0
793,121.0,42.0,30.0,260.0
794,115.0,44.0,39.0,277.0
795,100.0,39.0,21.0,238.0
796,143.0,58.0,31.0,239.0
797,128.0,45.0,43.0,253.0
798,105.0,60.0,31.0,250.0
799,113.0,48.0,26.0,263.0
800,95.0,51.0,32.0,230.0
801,80.0,58.0,31.0,232.0
802,110.0,44.0,25.0,241.0
803,116.0,58.0,48.0,273.0
804,114.0,55.0,32.0,263.0
805,123.0,41.0,31.0,215.0
806,94.0,32.0,29.0,231.0
807,101.0,54.0,34.0,260.0
808,125.0,50.0,32.0,276.0
809,107.0,51.0,38.0,218.0
810,86.0,44.0,33.0,226.0
811,120.0,48.0,30.0,261.0
812,96.0,51.0,47.0,266.0
813,119.0,46.0,29.0,263.0
814,94.0,56.0,28.0,210.0
815,118.0,35.0,20.0,217.0
816,110.0,48.0,36.0,260.0
817,113.0,44.0,31.0,290.0
818,112.0,53.0,39.0,259.0
819,105.0,52.0,17.0,234.0
820,95.0,49.0,32.0,236.0
821,103.0,46.0,18.0,233.0
822,99.0,37.0,29.0,264.0
823,94.0,48.0,28.0,249.0
824,111.0,38.0,27.0,252.0
825,104.0,45.0,24.0,240.0
826,113.0,49.0,18.0,231.0
827,101.0,50.0,24.0,252.0
828,98.0,48.0,27.0,279.0
829,110.0,43.0,32.0,241.0
830,77.0,38.0,34.0,240.0
831,110.0,46.0,28.0,260.0
832,99.0,60.0,22.0,257.0
833,97.0,49.0,32.0,235.0
834,107.0,54.0,28.0,263.0
835,98.0,50.0,21.0,266.0
836,93.0,64.0,43.0,263.0
837,120.0,45.0,21.0,293.0
838,107.0,49.0,29.0,243.0
839,94.0,53.0,28.0,257.0
840,106.0,58.0,22.0,219.0
841,115.0,51.0,25.0,269.0
842,97.0,59.0,30.0,265.0
843,99.0,44.0,36.0,228.0
844,110.0,46.0,28.0,226.0
845,107.0,46.0,25.0,231.0
846,107.0,42.0,23.0,267.0
847,85.0,47.0,30.0,230.0
848,88.0,42.0,21.0,228.0
849,92.0,59.0,27.0,217.0
850,89.0,57.0,26.0,230.0
851,97.0,46.0,24.0,266.0
852,121.0,61.0,38.0,261.0
853,108.0,43.0,26.0,220.0
854,76.0,47.0,26.0,242.0
855,102.0,55.0,27.0,238.0
856,93.0,43.0,26.0,248.0
857,102.0,59.0,26.0,281.0
858,85.0,62.0,17.0,274.0
859,88.0,53.0,28.0,282.0
860,108.0,61.0,27.0,270.0
861,105.0,54.0,28.0,251.0
862,108.0,47.0,21.0,274.0
863,96.0,53.0,30.0,235.0
864,102.0,60.0,28.0,248.0
865,98.0,54.0,26.0,245.0
866,105.0,45.0,28.0,226.0
867,103.0,52.0,24.0,251.0
868,93.0,52.0,34.0,253.0
869,100.0,40.0,38.0,264.0
870,87.0,47.0,24.0,228.0
871,95.0,59.0,26.0,208.0
872,107.0,48.0,21.0,233.0
873,94.0,47.0,21.0,215.0
874,102.0,54.0,27.0,252.0
875,90.0,49.0,23.0,233.0
876,123.0,51.0,30.0,219.0
877,82.0,44.0,23.0,250.0
878,106.0,57.0,23.0,229.0
879,106.0,46.0,23.0,260.0
880,100.0,37.0,34.0,247.0
881,118.0,58.0,29.0,231.0
882,120.0,60.0,21.0,218.0
883,90.0,49.0,28.0,242.0
884,81.0,58.0,24.0,242.0
885,104.0,53.0,35.0,238.0
886,87.0,64.0,26.0,224.0
887,90.0,56.0,31.0,277.0
888,99.0,50.0,26.0,216.0
889,109.0,44.0,26.0,290.0
890,98.0,64.0,32.0,259.0
891,105.0,52.0,24.0,240.0
892,98.0,58.0,34.0,268.0
893,90.0,51.0,22.0,257.0
894,130.0,55.0,32.0,255.0
895,95.0,46.0,25.0,273.0
896,101.0,44.0,35.0,265.0
897,95.0,41.0,28.0,248.0
898,119.0,62.0,32.0,308.0
899,80.0,46.0,27.0,254.0
900,89.0,49.0,26.0,225.0
901,98.0,51.0,23.0,242.0
902,110.0,49.0,28.0,255.0
903,96.0,49.0,23.0,243.0
904,99.0,55.0,28.0,253.0
905,124.0,57.0,26.0,258.0
906,128.0,50.0,30.0,233.0
907,111.0,52.0,35.0,233.0
908,115.0,41.0,25.0,271.0
909,90.0,56.0,28.0,233.0
910,81.0,50.0,33.0,249.0
911,102.0,46.0,16.0,236.0
912,100.0,61.0,26.0,229.0
913,103.0,54.0,37.0,246.0
914,100.0,39.0,24.0,259.0
915,104.0,50.0,16.0,259.0
916,90.0,60.0,14.0,259.0
917,103.0,54.0,16.0,271.0
918,83.0,55.0,38.0,239.0
919,101.0,49.0,32.0,285.0
920,103.0,71.0,22.0,252.0
921,85.0,63.0,29.0,265.0
922,94.0,54.0,19.0,250.0
923,91.0,51.0,23.0,258.0
924,119.0,64.0,21.0,251.0
925,104.0,57.0,25.0,263.0
926,98.0,54.0,27.0,258.0
927,122.0,43.0,30.0,230.0
928,102.0,53.0,30.0,265.0
929,106.0,61.0,25.0,283.0
930,121.0,58.0,32.0,253.0
931,119.0,61.0,27.0,262.0
932,102.0,62.0,21.0,260.0
933,96.0,55.0,25.0,254.0
934,109.0,42.0,33.0,258.0
935,111.0,72.0,35.0,257.0
936,84.0,67.0,27.0,250.0
937,92.0,59.0,28.0,256.0
938,125.0,43.0,34.0,262.0
939,108.0,51.0,21.0,250.0
940,106.0,53.0,22.0,239.0
941,109.0,56.0,31.0,264.0
942,103.0,56.0,32.0,231.0
943,110.0,52.0,19.0,247.0
944,98.0,60.0,31.0,271.0
945,110.0,46.0,34.0,215.0
946,113.0,61.0,23.0,239.0
947,119.0,57.0,20.0,282.0
948,126.0,62.0,29.0,252.0
949,113.0,66.0,27.0,253.0
950,117.0,59.0,22.0,223.0
951,105.0,52.0,22.0,244.0
952,116.0,63.0,22.0,256.0
953,116.0,50.0,24.0,220.0
954,89.0,66.0,27.0,297.0
955,110.0,58.0,29.0,262.0
956,109.0,50.0,25.0,272.0
957,112.0,64.0,21.0,264.0
958,121.0,39.0,31.0,272.0
959,109.0,69.0,21.0,268.0
960,136.0,57.0,23.0,235.0
961,118.0,59.0,31.0,265.0
962,108.0,55.0,28.0,253.0
963,106.0,54.0,34.0,268.0
964,123.0,58.0,22.0,249.0
965,105.0,55.0,24.0,263.0
966,108.0,49.0,22.0,241.0
967,98.0,51.0,25.0,241.0
968,114.0,75.0,22.0,243.0
969,110.0,75.0,29.0,222.0
970,112.0,68.0,19.0,267.0
971,101.0,61.0,21.0,241.0
972,105.0,45.0,28.0,241.0
973,101.0,71.0,27.0,238.0
974,95.0,52.0,34.0,262.0
975,94.0,46.0,23.0,248.0
976,87.0,48.0,17.0,227.0
977,91.0,66.0,23.0,227.0
978,98.0,65.0,34.0,230.0
979,117.0,59.0,22.0,246.0
980,103.0,58.0,27.0,242.0
981,121.0,59.0,25.0,245.0
982,108.0,62.0,33.0,235.0
983,117.0,52.0,37.0,229.0
984,105.0,72.0,31.0,264.0
985,87.0,57.0,32.0,251.0
986,95.0,45.0,29.0,240.0
987,117.0,51.0,33.0,250.0
988,107.0,46.0,30.0,259.0
989,95.0,55.0,16.0,259.0
990,92.0,68.0,34.0,287.0
991,108.0,52.0,23.0,268.0
992,86.0,51.0,34.0,259.0
993,122.0,54.0,32.0,228.0
994,109.0,48.0,35.0,246.0
995,138.0,48.0,26.0,255.0
996,98.0,66.0,22.0,275.0
997,114.0,59.0,31.0,251.0
998,89.0,51.0,23.0,215.0
999,112.0,66.0,28.0,248.0
